Rank,Release Group,Worldwide,Domestic,%,Foreign,%
101,Irresistible,"$90,557",-,-,"$90,557",100%
102,Never Rarely Sometimes Always,"$88,716","$16,565",18.7%,"$72,151",81.3%
103,Come and See 2020 Re-release,"$71,909","$71,909",100%,-,-
104,How to Build a Girl,"$70,632","$70,632",100%,-,-
105,Nick Mason's Saucerful of Secrets: Live at the Roundhouse,"$69,967","$32,444",46.4%,"$37,523",53.6%
106,A Simple Wedding,"$54,415","$54,415",100%,-,-
107,Miss Fisher and the Crypt of Tears (special screenings),"$51,158","$51,032",99.8%,$126,0.2%
108,VHYes,"$47,037","$47,037",100%,-,-
109,Enter the Fat Dragon,"$46,855","$46,855",100%,-,-
110,Babyteeth,"$46,014","$4,507",9.8%,"$41,507",90.2%
111,Saint Frances,"$44,330","$44,330",100%,-,-
112,Shirley,"$39,736",-,-,"$39,736",100%
113,Three Christs,"$36,723","$36,723",100%,-,-
114,Tread,"$36,527","$36,527",100%,-,-
115,Waiting for Anya,"$36,404",-,-,"$36,404",100%
116,After Parkland,"$30,444","$30,444",100%,-,-
117,Olympic Dreams,"$29,450","$29,450",100%,-,-
118,Buffaloed,"$29,118","$29,118",100%,-,-
119,Abe,"$28,657",-,-,"$28,657",100%
120,Cane River 2020 Re-release,"$27,317","$27,317",100%,-,-
121,José,"$26,563","$26,563",100%,-,-
122,Unsubscribe,"$25,488","$25,488",100%,-,-
123,Disappearance at Clifton Hill,"$25,084","$25,084",100%,-,-
124,Heart of Africa,"$24,139","$24,139",100%,-,-
125,"Phoenix, Oregon","$23,613","$23,613",100%,-,-
126,Premature,"$23,071","$23,071",100%,-,-
127,L'Innocente,"$22,549","$22,549",100%,-,-
128,Never Too Late,"$21,915",-,-,"$21,915",100%
129,Young Ahmed Domestic,"$21,291","$21,291",100%,-,-
130,Lore,"$20,006","$20,006",100%,-,-
131,Max Winslow and the House of Secrets,"$18,750","$18,750",100%,-,-
132,Pandora and the Flying Dutchman 2020 Re-release,"$17,401","$17,401",100%,-,-
133,Made in Hong Kong,"$17,255","$17,255",100%,-,-
134,Advocate,"$16,942","$16,942",100%,-,-
135,Straight Up,"$16,080","$16,080",100%,-,-
136,The Shining 40th Anniversary,"$15,960",-,-,"$15,960",100%
137,"I Was at Home, But","$14,078","$14,078",100%,-,-
138,Powerbomb,"$11,319","$11,319",100%,-,-
139,Lost in America,"$11,301","$11,301",100%,-,-
140,You Go to My Head,"$10,682","$10,682",100%,-,-
141,Foosballers,"$9,966","$9,966",100%,-,-
142,Just One More Kiss,"$9,130","$9,130",100%,-,-
143,Inside the Rain,"$8,140","$8,140",100%,-,-
144,The Wave,"$8,101","$8,101",100%,-,-
145,Human Capital,"$6,596","$6,596",100%,-,-
146,Afterward,"$6,477","$6,477",100%,-,-
147,Juvenile Delinquents,"$6,312","$6,312",100%,-,-
148,The Other Lamb,"$6,024","$6,024",100%,-,-
149,Guest Artist,"$4,011","$4,011",100%,-,-
150,King's Gambit,"$3,816","$3,816",100%,-,-
151,The Roads Not Taken,"$3,518","$3,518",100%,-,-
152,Sex and the Future,"$3,502","$3,502",100%,-,-
153,Valley Girl,"$3,080",-,-,"$3,080",100%
154,Moondance,"$2,371","$2,371",100%,-,-
155,Detective Chinatown 3,"$2,342",-,-,"$2,342",100%
156,Goldie,"$2,302","$2,302",100%,-,-
157,Gul Makai,"$2,035",-,-,"$2,035",100%
158,The Fox Hunter,"$1,577","$1,577",100%,-,-
159,Hai Tang Hong,"$1,107","$1,107",100%,-,-
160,The Transcendents,"$1,090","$1,090",100%,-,-
161,Inception 10th Anniversary re-release,$387,-,-,$387,100%
162,Spaceship Earth,$168,-,-,$168,100%
